key	doi	status	change_or_source	verdict	residual_vs_record	label_before	label_after
P49	10.1016/j.cpc.2023.109029	existing	title: 'A fast and accurate computation method for reflective diffraction simulations' -> 'A fast and efficient computation method for reflective diffraction simulations'; year: '2023' -> '2024'; howpublished: 'arXiv preprint arXiv:2306.00271; a journal version in Computer Physics Communications (reported November 2023) carries ScienceDirect PII S0010465523003740' -> None; journal: None -> 'Computer Physics Communications'; volume: None -> '296'; pages: None -> '109029'; doi: None -> '10.1016/j.cpc.2023.109029'; @type: 'misc' -> 'article'	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	METADATA_VERIFIED (route: arXiv API record of 2306.00271, cached as docs/agent_reports/crossref_cache/P49.arxiv.xml; B3, 2026-09-22) -- preprint	SECTION_READ (arXiv v1 2306.00271 and its code; L2 section D) + METADATA_VERIFIED (route: Crossref API record of the Computer Physics Communications version, found with the citation claimed in L2 section H and accepted on the strict five-field rule, cached as docs/agent_reports/crossref_cache/P49.claim.json; B3 pass 2, 2026-09-22); THE CPC VERSION WAS NOT READ
U15	10.1038/s41467-025-64133-3	existing	author: None -> 'Blackburn, Arthur M. and Cordoba, Cristina and Fitzpatrick, Matthew R. and McLeod, Robert A.'; volume: None -> '16'; number: None -> '1'; pages: None -> '8977'; doi: None -> '10.1038/s41467-025-64133-3'; @type: 'misc' -> 'article'	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	METADATA_VERIFIED(index, single); AUTHORS UNVERIFIED	METADATA_VERIFIED (route: Crossref API record found with the citation claimed in docs/agent_reports/L4_citation_search.md section 6.2 (proposed key BLACKBURN2025), accepted on the strict five-field rule, cached as docs/agent_reports/crossref_cache/U15.claim.json; B3 pass 2, 2026-09-22)
P01	10.1143/JJAP.27.L1772	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P01.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P01.json; B3) +ABSTRACT(publisher) (IOP landing page; L5 section 2.1)
P02	10.1103/PhysRevLett.62.2969	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P02.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P02.json; B3, 2026-09-22)
P02E	10.1103/PhysRevLett.63.584.3	existing	note only	-	none	existence METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P02E.json; B3, 2026-09-22); CONTENT UNVERIFIED	SECTION_READ (in full; L5 section 2.4) + METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P02E.json; B3)
P04	10.1186/s40679-017-0046-1	existing	note only	-	none	SECTION_READ (instruction file) + METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P04.json; B3, 2026-09-22)	SECTION_READ (in full; L2 section A) + METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P04.json; B3)
P05	10.1016/j.micron.2021.103141	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P05.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P05.json; B3) +ABSTRACT(PubMed) (Europe PMC; L5 section 2.7)
P07	10.1093/jmicro/dfaa033	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API record found by bibliographic search and accepted on the five-field rule, cached as docs/agent_reports/crossref_cache/P07.json; B3, 2026-09-22)	SECTION_READ (in full, JATS XML of PMC7850541; L1 section 1.1) + METADATA_VERIFIED (route: Crossref API record accepted on the five-field rule, cached as docs/agent_reports/crossref_cache/P07.json; B3)
PAT01		existing	note only	-	none	METADATA_VERIFIED (route: Google Patents record https://patents.google.com/patent/US4998788A/en, HTTP 200; B3, 2026-09-22); DESCRIPTION NOT READ	SECTION_READ (in full, printed patent read as images; L1 section 3) + METADATA_VERIFIED (route: Google Patents record https://patents.google.com/patent/US4998788A/en; B3)
C03	10.1007/978-3-030-00069-1_17	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/C03.json; B3, 2026-09-22)	SECTION_READ (author accepted manuscript, White Rose eprint 127795; L5 section 2.5) + METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/C03.json; B3)
P08	10.1002/jemt.1070200415	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P08.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P08.json; B3) +ABSTRACT(PubMed) (L5 section 2.2)
P09	10.1002/jemt.1070200414	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P09.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/P09.json; B3) +ABSTRACT(PubMed) (L5 section 2.2)
P31	10.1016/j.ultramic.2011.04.008	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API record found by bibliographic search and accepted on the five-field rule, cached as docs/agent_reports/crossref_cache/P31.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API record accepted on the five-field rule, cached as docs/agent_reports/crossref_cache/P31.json; B3) +ABSTRACT(PubMed) (L5 section 2.6)
HYTCH10	10.1088/1742-6596/241/1/012027	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API record found by bibliographic search, accepted with the article number standing in for the title that the claim did not state -- first author, journal, volume 241 and year 2010 match -- cached as docs/agent_reports/crossref_cache/HYTCH10.json; B3, 2026-09-22)	SECTION_READ (HAL hal-01742031 full text; L5 section 2.6) + METADATA_VERIFIED (route: Crossref API record, cached as docs/agent_reports/crossref_cache/HYTCH10.json; B3)
SCHOWALTER26A		existing	note only	-	none	METADATA_VERIFIED (route: arXiv API record of 2607.05948, cached as docs/agent_reports/crossref_cache/SCHOWALTER26A.arxiv.xml; B3, 2026-09-22) -- preprint	SECTION_READ (arXiv v1 in full; L5 section 4) + METADATA_VERIFIED (route: arXiv API record, cached as docs/agent_reports/crossref_cache/SCHOWALTER26A.arxiv.xml; B3)
S01		existing	note only	-	none	METADATA_VERIFIED (route: DataCite record of the Zenodo DOI printed in the README, cached as docs/agent_reports/crossref_cache/S01.datacite.json, plus the documentation page https://mrfitzpa.github.io/prismatique/; B3, 2026-09-22) + SECTION_READ (GitHub README only, B_literature.md)	SECTION_READ (rendered documentation, README and v0.0.1 docstrings; L2 section B) + METADATA_VERIFIED (route: DataCite record of the Zenodo concept DOI and CITATION.cff; B3)
S02		existing	note only	-	none	METADATA_VERIFIED (route: project pages https://prism-em.com/ and https://prism-em.github.io/about-cite/, HTTP 200; B3, 2026-09-22) + SECTION_READ (GitHub README only, B_literature.md)	SECTION_READ (project pages and repository README; L2 section C) + METADATA_VERIFIED (route: project pages https://prism-em.com/ and https://prism-em.github.io/about-cite/, HTTP 200; B3)
B06	10.1007/978-3-030-33260-0	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/B06.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API /works record of the doi field, cached as docs/agent_reports/crossref_cache/B06.json; B3, 2026-09-22)
B07	10.1017/cbo9780511735097	existing	note only	-	none	METADATA_VERIFIED (route: Crossref API monograph record found by bibliographic search and accepted on the five-field rule, cached as docs/agent_reports/crossref_cache/B07.json; B3, 2026-09-22)	METADATA_VERIFIED (route: Crossref API monograph record found by bibliographic search and accepted on the five-field rule, cached as docs/agent_reports/crossref_cache/B07.json; B3, 2026-09-22)
U03		existing	note only	-	none	METADATA_VERIFIED (route: Google Patents record https://patents.google.com/patent/US10755892B2/en, HTTP 200; B3, 2026-09-22); DESCRIPTION NOT READ	METADATA_VERIFIED (route: Google Patents record https://patents.google.com/patent/US10755892B2/en, HTTP 200; B3, 2026-09-22); DESCRIPTION NOT READ
PAT02		ADDED-VERIFIED	L1 section 6	manual route: USPTO printed patent, front page, https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5192867 (HTTP 200; Google Patents returned 503)	none	(new)	METADATA_VERIFIED (route: USPTO printed patent, front page read as an image in B3 pass 2 from https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5192867, HTTP 200; Google Patents returned HTTP 503; B3 pass 2, 2026-09-22)
HARADA05	10.1093/jmicro/dfh098	ADDED-VERIFIED	L1 section 6 (citation from P07 ref. 65)	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L1 section 6 (citation from P07 ref. 65), accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/HARADA05.json; B3 pass 2, 2026-09-22)
PRYOR17	10.1186/s40679-017-0048-z	ADDED-VERIFIED	L2 section H	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L2 section H, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/PRYOR17.json; B3 pass 2, 2026-09-22)
CHEN95	10.1002/pssa.2211500103	ADDED-VERIFIED	L2 section H	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L2 section H, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/CHEN95.json; B3 pass 2, 2026-09-22)
LOANE91	10.1107/s0108767391000375	ADDED-VERIFIED	L2 section H	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L2 section H, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/LOANE91.json; B3 pass 2, 2026-09-22)
SUZUKI2001	10.1143/jjap.40.2527	ADDED-VERIFIED	L4 section 6.2, tier 1	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 1, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/SUZUKI2001.json; B3 pass 2, 2026-09-22)
