key	source	entry_type	doi	routes_http	fields_checked	mismatches	not_counted	record_normalisations	format_fixes	duplicate_of	verdict	detail	action	label_after
LEE2000MT	L8	article	10.2320/matertrans1989.41.1129	Crossref https://api.crossref.org/works/10.2320/matertrans1989.41.1129 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	the record title's HTML-escaped SUB markup transcribed as a subscript	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
IAKOUBOVSKII2008PRB	L8	article	10.1103/PhysRevB.77.104102	Crossref https://api.crossref.org/works/10.1103/PhysRevB.77.104102 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
IAKOUBOVSKII2008MRT	L8	article	10.1002/jemt.20597	Crossref https://api.crossref.org/works/10.1002/jemt.20597 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
RAU1996	L8	article	10.1063/1.115776	Crossref https://api.crossref.org/works/10.1063/1.115776 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
BASHA2022	L8	article	10.1016/j.ultramic.2022.113570	Crossref https://api.crossref.org/works/10.1016/j.ultramic.2022.113570 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
ISABELL1999	L8	article	10.1017/S1431927699000094	Crossref https://api.crossref.org/works/10.1017/S1431927699000094 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
FISCHIONE1020	L8	misc		page 1 https://www.fischione.com/products/m1020 -> HTTP 200 | page 2 https://www.fischione.com/files/products/17/sp1020.pdf -> HTTP 200 | page 3 https://www.fischione.com/files/products/17/pb1020.pdf -> HTTP 200	owner(page 1),title(page 1),title(page 2),document(page 2),owner(page 2),title(page 3),document(page 3),owner(page 3)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
KITAJIMA1994	L8	article	10.3131/jvsj.37.815	Crossref https://api.crossref.org/works/10.3131/jvsj.37.815 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	family names deposited in capitals (KITAJIMA) read as capitalised; container title deposited in capitals ('SHINKU') read as capitalised; closing full stop of the J-STAGE record title dropped	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
ROBINSON2004SVC	L8	inproceedings		Crossref bibliographic query https://api.crossref.org/works?query.bibliographic=Removing%20Surface%20Contaminants%20from%20Silicon%20Wafers%20to%20Facilitate%20EUV%20Optical%20Characterization%20Robinson%202004&rows=5&select=DOI,title,author,container-title,issued,page,volume,type -> HTTP 200 | page 1 https://physics.byu.edu/faculty/allred/docs/svc04.pdf -> HTTP 200	entry title(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),booktitle(page 1),publisher(page 1),issn(page 1),date and place(page 1),place(page 1),first page(page 1),last page(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
MITCHELL2015	L8	article	10.1016/j.micron.2015.03.013	Crossref https://api.crossref.org/works/10.1016/j.micron.2015.03.013 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	author[1].given (given-form, Crossref)	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
YAMAMURA1996	L8	article	10.1006/adnd.1996.0005	Crossref https://api.crossref.org/works/10.1006/adnd.1996.0005 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	family names deposited in capitals (YAMAMURA, TAWARA) read as capitalised; given names deposited in capitals (YASUNORI, HIRO) read as capitalised; record title deposited in capitals; the proposal's capitalisation of the same words is used	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
LUHMANN2017	L8	article	10.1063/1.4989775	Crossref https://api.crossref.org/works/10.1063/1.4989775 -> HTTP 200 | arXiv query API https://export.arxiv.org/api/query?id_list=1706.02957 -> HTTP 406 | arXiv OAI-PMH (arXiv) https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:1706.02957&metadataPrefix=arXiv -> HTTP 200 | arXiv OAI-PMH (arXivRaw) https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:1706.02957&metadataPrefix=arXivRaw -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref),author(arXiv),title(arXiv),version v1(arXiv)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
